product_id,product_name,product_price,product_category,customer_id,customer_name,customer_email,order_date,order_amount,order_status
1,Product 1,16,Toys,1,Customer 1,customer1@email.com,28-06-2022,191,Pending
2,Product 2,93,Beauty,1,Customer 1,customer1@email.com,28-06-2022,191,Pending
3,Product 3,74,Electronics,2,Customer 2,customer2@email.com,07-10-2020,62,Delivered
4,Product 4,65,Toys,2,Customer 2,customer2@email.com,07-10-2020,62,Delivered
5,Product 5,95,Beauty,3,Customer 3,customer3@email.com,02-06-2023,50,Processing
6,Product 6,87,Beauty,3,Customer 3,customer3@email.com,02-06-2023,50,Processing
7,Product 7,75,Clothing,4,Customer 4,customer4@email.com,18-06-2021,169,Processing
8,Product 8,26,Toys,4,Customer 4,customer4@email.com,18-06-2021,169,Processing
9,Product 9,24,Electronics,5,Customer 5,customer5@email.com,01-11-2021,137,Shipped
10,Product 10,11,Electronics,5,Customer 5,customer5@email.com,01-11-2021,137,Shipped
11,Product 11,22,Beauty,6,Customer 6,customer6@email.com,01-03-2019,154,Pending
12,Product 12,27,Clothing,6,Customer 6,customer6@email.com,01-03-2019,154,Pending
13,Product 13,50,Clothing,7,Customer 7,customer7@email.com,02-06-2022,96,Shipped
14,Product 14,59,Clothing,7,Customer 7,customer7@email.com,02-06-2022,96,Shipped
15,Product 15,34,Toys,8,Customer 8,customer8@email.com,30-03-2023,134,Delivered
16,Product 16,73,Clothing,8,Customer 8,customer8@email.com,30-03-2023,134,Delivered
17,Product 17,63,Clothing,9,Customer 9,customer9@email.com,03-01-2019,89,Processing
18,Product 18,46,Home Goods,9,Customer 9,customer9@email.com,03-01-2019,89,Processing
19,Product 19,29,Toys,10,Customer 10,customer10@email.com,24-04-2019,184,Processing
20,Product 20,62,Clothing,10,Customer 10,customer10@email.com,24-04-2019,184,Processing
21,Product 21,37,Home Goods,11,Customer 11,customer11@email.com,22-04-2023,152,Delivered
22,Product 22,45,Beauty,11,Customer 11,customer11@email.com,22-04-2023,152,Delivered
23,Product 23,65,Beauty,12,Customer 12,customer12@email.com,04-11-2022,81,Pending
24,Product 24,12,Home Goods,12,Customer 12,customer12@email.com,04-11-2022,81,Pending
25,Product 25,13,Beauty,13,Customer 13,customer13@email.com,24-02-2020,50,Pending
26,Product 26,87,Clothing,13,Customer 13,customer13@email.com,24-02-2020,50,Pending
27,Product 27,80,Home Goods,14,Customer 14,customer14@email.com,09-03-2019,179,Shipped
28,Product 28,13,Toys,14,Customer 14,customer14@email.com,09-03-2019,179,Shipped
29,Product 29,57,Toys,15,Customer 15,customer15@email.com,23-07-2019,188,Pending
30,Product 30,62,Beauty,15,Customer 15,customer15@email.com,23-07-2019,188,Pending
31,Product 31,78,Electronics,16,Customer 16,customer16@email.com,29-07-2020,59,Processing
32,Product 32,96,Beauty,16,Customer 16,customer16@email.com,29-07-2020,59,Processing
33,Product 33,63,Electronics,17,Customer 17,customer17@email.com,15-05-2021,143,Processing
34,Product 34,35,Electronics,17,Customer 17,customer17@email.com,15-05-2021,143,Processing
35,Product 35,78,Clothing,18,Customer 18,customer18@email.com,27-08-2020,184,Pending
36,Product 36,83,Clothing,18,Customer 18,customer18@email.com,27-08-2020,184,Pending
37,Product 37,37,Home Goods,19,Customer 19,customer19@email.com,07-10-2022,77,Delivered
38,Product 38,77,Home Goods,19,Customer 19,customer19@email.com,07-10-2022,77,Delivered
39,Product 39,14,Home Goods,20,Customer 20,customer20@email.com,02-10-2020,192,Processing
40,Product 40,69,Electronics,20,Customer 20,customer20@email.com,02-10-2020,192,Processing
41,Product 41,36,Toys,21,Customer 21,customer21@email.com,11-08-2019,78,Processing
42,Product 42,71,Beauty,21,Customer 21,customer21@email.com,11-08-2019,78,Processing
43,Product 43,29,Beauty,22,Customer 22,customer22@email.com,22-11-2022,109,Delivered
44,Product 44,57,Home Goods,22,Customer 22,customer22@email.com,22-11-2022,109,Delivered
45,Product 45,95,Beauty,23,Customer 23,customer23@email.com,22-06-2022,192,Pending
46,Product 46,41,Electronics,23,Customer 23,customer23@email.com,22-06-2022,192,Pending
47,Product 47,94,Clothing,24,Customer 24,customer24@email.com,18-08-2021,85,Pending
48,Product 48,56,Electronics,24,Customer 24,customer24@email.com,18-08-2021,85,Pending
49,Product 49,51,Home Goods,25,Customer 25,customer25@email.com,21-09-2021,66,Pending
50,Product 50,87,Clothing,25,Customer 25,customer25@email.com,21-09-2021,66,Pending
51,Product 51,82,Toys,26,Customer 26,customer26@email.com,17-03-2022,57,Delivered
52,Product 52,58,Home Goods,26,Customer 26,customer26@email.com,17-03-2022,57,Delivered
53,Product 53,57,Toys,27,Customer 27,customer27@email.com,01-03-2022,56,Delivered
54,Product 54,24,Toys,27,Customer 27,customer27@email.com,01-03-2022,56,Delivered
55,Product 55,95,Electronics,28,Customer 28,customer28@email.com,29-10-2019,59,Pending
56,Product 56,87,Home Goods,28,Customer 28,customer28@email.com,29-10-2019,59,Pending
57,Product 57,61,Beauty,29,Customer 29,customer29@email.com,08-08-2020,69,Processing
58,Product 58,16,Electronics,29,Customer 29,customer29@email.com,08-08-2020,69,Processing
59,Product 59,74,Toys,30,Customer 30,customer30@email.com,06-05-2021,182,Delivered
60,Product 60,85,Beauty,30,Customer 30,customer30@email.com,06-05-2021,182,Delivered
61,Product 61,86,Toys,31,Customer 31,customer31@email.com,05-05-2023,64,Processing
62,Product 62,48,Toys,31,Customer 31,customer31@email.com,05-05-2023,64,Processing
63,Product 63,74,Clothing,32,Customer 32,customer32@email.com,20-07-2020,60,Delivered
64,Product 64,28,Clothing,32,Customer 32,customer32@email.com,20-07-2020,60,Delivered
65,Product 65,63,Toys,33,Customer 33,customer33@email.com,19-08-2023,179,Pending
66,Product 66,13,Toys,33,Customer 33,customer33@email.com,19-08-2023,179,Pending
67,Product 67,23,Toys,34,Customer 34,customer34@email.com,07-01-2021,192,Delivered
68,Product 68,76,Home Goods,34,Customer 34,customer34@email.com,07-01-2021,192,Delivered
69,Product 69,73,Home Goods,35,Customer 35,customer35@email.com,27-04-2019,106,Delivered
70,Product 70,61,Clothing,35,Customer 35,customer35@email.com,27-04-2019,106,Delivered
71,Product 71,81,Electronics,36,Customer 36,customer36@email.com,13-08-2023,56,Pending
72,Product 72,63,Clothing,36,Customer 36,customer36@email.com,13-08-2023,56,Pending
73,Product 73,89,Toys,37,Customer 37,customer37@email.com,25-04-2021,175,Delivered
74,Product 74,58,Beauty,37,Customer 37,customer37@email.com,25-04-2021,175,Delivered
75,Product 75,63,Home Goods,38,Customer 38,customer38@email.com,29-12-2020,105,Pending
76,Product 76,98,Clothing,38,Customer 38,customer38@email.com,29-12-2020,105,Pending
77,Product 77,84,Clothing,39,Customer 39,customer39@email.com,07-08-2019,78,Processing
78,Product 78,19,Clothing,39,Customer 39,customer39@email.com,07-08-2019,78,Processing
79,Product 79,44,Beauty,40,Customer 40,customer40@email.com,25-08-2021,115,Delivered
80,Product 80,15,Toys,40,Customer 40,customer40@email.com,25-08-2021,115,Delivered
81,Product 81,93,Home Goods,41,Customer 41,customer41@email.com,08-10-2020,182,Processing
82,Product 82,15,Beauty,41,Customer 41,customer41@email.com,08-10-2020,182,Processing
83,Product 83,92,Beauty,42,Customer 42,customer42@email.com,19-10-2020,128,Shipped
84,Product 84,90,Electronics,42,Customer 42,customer42@email.com,19-10-2020,128,Shipped
85,Product 85,33,Electronics,43,Customer 43,customer43@email.com,22-08-2020,148,Processing
86,Product 86,53,Home Goods,43,Customer 43,customer43@email.com,22-08-2020,148,Processing
87,Product 87,50,Electronics,44,Customer 44,customer44@email.com,23-10-2020,178,Pending
88,Product 88,29,Electronics,44,Customer 44,customer44@email.com,23-10-2020,178,Pending
89,Product 89,42,Electronics,45,Customer 45,customer45@email.com,13-12-2021,96,Delivered
90,Product 90,72,Home Goods,45,Customer 45,customer45@email.com,13-12-2021,96,Delivered
91,Product 91,91,Home Goods,46,Customer 46,customer46@email.com,16-01-2019,181,Delivered
92,Product 92,31,Home Goods,46,Customer 46,customer46@email.com,16-01-2019,181,Delivered
93,Product 93,96,Clothing,47,Customer 47,customer47@email.com,16-01-2022,76,Pending
94,Product 94,47,Toys,47,Customer 47,customer47@email.com,16-01-2022,76,Pending
95,Product 95,32,Home Goods,48,Customer 48,customer48@email.com,23-04-2021,91,Processing
96,Product 96,93,Toys,48,Customer 48,customer48@email.com,23-04-2021,91,Processing
97,Product 97,89,Clothing,49,Customer 49,customer49@email.com,20-10-2019,124,Pending
98,Product 98,70,Beauty,49,Customer 49,customer49@email.com,20-10-2019,124,Pending
99,Product 99,14,Home Goods,50,Customer 50,customer50@email.com,09-12-2019,195,Processing
100,Product 100,23,Home Goods,50,Customer 50,customer50@email.com,09-12-2019,195,Processing
101,Product 101,22,Home Goods,51,Customer 51,customer51@email.com,25-05-2021,100,Pending
102,Product 102,36,Beauty,51,Customer 51,customer51@email.com,25-05-2021,100,Pending
103,Product 103,62,Electronics,52,Customer 52,customer52@email.com,07-01-2021,123,Processing
104,Product 104,37,Clothing,52,Customer 52,customer52@email.com,07-01-2021,123,Processing
105,Product 105,66,Toys,53,Customer 53,customer53@email.com,22-03-2019,156,Processing
106,Product 106,63,Electronics,53,Customer 53,customer53@email.com,22-03-2019,156,Processing
107,Product 107,33,Toys,54,Customer 54,customer54@email.com,07-02-2019,85,Shipped
108,Product 108,74,Home Goods,54,Customer 54,customer54@email.com,07-02-2019,85,Shipped
109,Product 109,51,Electronics,55,Customer 55,customer55@email.com,03-06-2021,197,Delivered
110,Product 110,32,Electronics,55,Customer 55,customer55@email.com,03-06-2021,197,Delivered
111,Product 111,28,Electronics,56,Customer 56,customer56@email.com,27-05-2021,67,Processing
112,Product 112,43,Clothing,56,Customer 56,customer56@email.com,27-05-2021,67,Processing
113,Product 113,22,Home Goods,57,Customer 57,customer57@email.com,17-04-2023,126,Pending
114,Product 114,86,Beauty,57,Customer 57,customer57@email.com,17-04-2023,126,Pending
115,Product 115,52,Electronics,58,Customer 58,customer58@email.com,11-01-2021,96,Shipped
116,Product 116,32,Home Goods,58,Customer 58,customer58@email.com,11-01-2021,96,Shipped
117,Product 117,38,Electronics,59,Customer 59,customer59@email.com,18-04-2020,57,Shipped
118,Product 118,13,Clothing,59,Customer 59,customer59@email.com,18-04-2020,57,Shipped
119,Product 119,93,Beauty,60,Customer 60,customer60@email.com,03-10-2019,135,Pending
120,Product 120,82,Clothing,60,Customer 60,customer60@email.com,03-10-2019,135,Pending
121,Product 121,39,Beauty,61,Customer 61,customer61@email.com,29-12-2021,134,Pending
122,Product 122,52,Beauty,61,Customer 61,customer61@email.com,29-12-2021,134,Pending
123,Product 123,61,Home Goods,62,Customer 62,customer62@email.com,30-04-2021,87,Processing
124,Product 124,82,Beauty,62,Customer 62,customer62@email.com,30-04-2021,87,Processing
125,Product 125,53,Beauty,63,Customer 63,customer63@email.com,13-07-2019,112,Delivered
126,Product 126,92,Beauty,63,Customer 63,customer63@email.com,13-07-2019,112,Delivered
127,Product 127,57,Clothing,64,Customer 64,customer64@email.com,20-10-2021,122,Shipped
128,Product 128,58,Electronics,64,Customer 64,customer64@email.com,20-10-2021,122,Shipped
129,Product 129,24,Clothing,65,Customer 65,customer65@email.com,16-02-2021,101,Delivered
130,Product 130,92,Beauty,65,Customer 65,customer65@email.com,16-02-2021,101,Delivered
131,Product 131,78,Toys,66,Customer 66,customer66@email.com,18-05-2023,73,Delivered
132,Product 132,15,Toys,66,Customer 66,customer66@email.com,18-05-2023,73,Delivered
133,Product 133,67,Toys,67,Customer 67,customer67@email.com,02-04-2021,173,Pending
134,Product 134,83,Clothing,67,Customer 67,customer67@email.com,02-04-2021,173,Pending
135,Product 135,88,Toys,68,Customer 68,customer68@email.com,08-01-2023,124,Pending
136,Product 136,13,Toys,68,Customer 68,customer68@email.com,08-01-2023,124,Pending
137,Product 137,21,Beauty,69,Customer 69,customer69@email.com,16-01-2023,97,Shipped
138,Product 138,84,Electronics,69,Customer 69,customer69@email.com,16-01-2023,97,Shipped
139,Product 139,41,Home Goods,70,Customer 70,customer70@email.com,23-12-2020,172,Shipped
140,Product 140,23,Home Goods,70,Customer 70,customer70@email.com,23-12-2020,172,Shipped
141,Product 141,26,Home Goods,71,Customer 71,customer71@email.com,09-09-2022,127,Processing
142,Product 142,75,Beauty,71,Customer 71,customer71@email.com,09-09-2022,127,Processing
143,Product 143,44,Toys,72,Customer 72,customer72@email.com,08-02-2020,82,Delivered
144,Product 144,71,Toys,72,Customer 72,customer72@email.com,08-02-2020,82,Delivered
145,Product 145,19,Clothing,73,Customer 73,customer73@email.com,16-06-2021,188,Delivered
146,Product 146,28,Home Goods,73,Customer 73,customer73@email.com,16-06-2021,188,Delivered
147,Product 147,44,Clothing,74,Customer 74,customer74@email.com,17-10-2019,117,Shipped
148,Product 148,83,Clothing,74,Customer 74,customer74@email.com,17-10-2019,117,Shipped
149,Product 149,81,Clothing,75,Customer 75,customer75@email.com,10-04-2019,98,Delivered
150,Product 150,75,Electronics,75,Customer 75,customer75@email.com,10-04-2019,98,Delivered
